Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=ca99fa39-7efb-4623-bf43-205890f7af82&n=1,1,0,39753.84150000173,39753.84150000173,39753.84150000173,39753.84150000173,232.0,0.017172365384564917,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=cbb47dba-a04a-45f3-b7c8-9acb2f3b51fd&n=3,1,0,21145.703299996967,21145.703299996967,21145.703299996967,21145.703299996967,415.0,0.017172365384564917,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,/api/find-carparks?uuid=d2c0a945-98cd-4638-b60f-e8e78b3f567f&n=2,1,0,27093.404400002328,27093.404400002328,27093.404400002328,27093.404400002328,324.0,0.017172365384564917,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/find-carparks?uuid=d4cf95f5-014e-4633-821b-0d896a96093d&n=2,1,0,38102.5695999997,38102.5695999997,38102.5695999997,38102.5695999997,324.0,0.017172365384564917,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,/api/find-carparks?uuid=d57c1f75-e6ef-498a-9ba3-e1473adc5268&n=1,1,0,11388.322599996172,11388.322599996172,11388.322599996172,11388.322599996172,232.0,0.017172365384564917,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/find-carparks?uuid=dafd12f6-65c4-41dc-8e66-b17e7ec72f48&n=5,1,0,18302.01240000315,18302.01240000315,18302.01240000315,18302.01240000315,597.0,0.017172365384564917,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/api/find-carparks?uuid=dcae1771-87dc-4b06-970f-c2a7f3ca6843&n=3,1,0,45870.812000001024,45870.812000001024,45870.812000001024,45870.812000001024,414.0,0.017172365384564917,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/find-carparks?uuid=dee0537e-0634-4c60-92eb-d6d19bffd658&n=3,1,0,41979.35750000033,41979.35750000033,41979.35750000033,41979.35750000033,415.0,0.017172365384564917,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,/api/find-carparks?uuid=e06bbcdd-0b9b-433c-aa8a-084f1daa382f&n=5,1,0,34792.96330000216,34792.96330000216,34792.96330000216,34792.96330000216,600.0,0.017172365384564917,0.0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000
GET,/api/find-carparks?uuid=e0e06c17-4438-45b3-9d4a-a647f5b1ead2&n=4,1,0,39550.683099994785,39550.683099994785,39550.683099994785,39550.683099994785,506.0,0.017172365384564917,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=e2a8644b-5042-45ab-a33f-8b0c4312e147&n=1,1,0,39359.23029999685,39359.23029999685,39359.23029999685,39359.23029999685,232.0,0.017172365384564917,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
